wavenumber,absorbance,file_name,catalog_number
925,0.0609326902092156,mckittrick_tar,tar
926,0.06185056176160614,mckittrick_tar,tar
927,0.06265020843489938,mckittrick_tar,tar
928,0.06329017546638155,mckittrick_tar,tar
929,0.0637010014400144,mckittrick_tar,tar
930,0.06397299179033294,mckittrick_tar,tar
931,0.06447779601579812,mckittrick_tar,tar
932,0.06565541650502787,mckittrick_tar,tar
933,0.06760175784551631,mckittrick_tar,tar
934,0.06992233261574182,mckittrick_tar,tar
935,0.07206137143544217,mckittrick_tar,tar
936,0.07373600304106315,mckittrick_tar,tar
937,0.07502875767094536,mckittrick_tar,tar
938,0.07618162599588613,mckittrick_tar,tar
939,0.07741025495994286,mckittrick_tar,tar
940,0.07882488726171738,mckittrick_tar,tar
941,0.08037672053216544,mckittrick_tar,tar
942,0.08191672890139085,mckittrick_tar,tar
943,0.08340970116699359,mckittrick_tar,tar
944,0.0849837876705058,mckittrick_tar,tar
945,0.086655378711262665,mckittrick_tar,tar
946,0.0882089650473375,mckittrick_tar,tar
947,0.0895445080878719,mckittrick_tar,tar
948,0.0909457565427097,mckittrick_tar,tar
949,0.09280954059917929,mckittrick_tar,tar
950,0.0952971158698907,mckittrick_tar,tar
951,0.09839587981858072,mckittrick_tar,tar
952,0.10206195221857312,mckittrick_tar,tar
953,0.10605393803220925,mckittrick_tar,tar
954,0.10979493810728852,mckittrick_tar,tar
955,0.11268110371866485,mckittrick_tar,tar
956,0.11456284502396946,mckittrick_tar,tar
957,0.11587096566691729,mckittrick_tar,tar
958,0.11728341551112714,mckittrick_tar,tar
959,0.11920628622436608,mckittrick_tar,tar
960,0.12148308098465671,mckittrick_tar,tar
961,0.12364557867567799,mckittrick_tar,tar
962,0.12548356191443916,mckittrick_tar,tar
963,0.12725082233442891,mckittrick_tar,tar
964,0.12922793592670828,mckittrick_tar,tar
965,0.13120150625880028,mckittrick_tar,tar
966,0.1325597436342733,mckittrick_tar,tar
967,0.1329919955139564,mckittrick_tar,tar
968,0.13304177659300015,mckittrick_tar,tar
969,0.13379124951671956,mckittrick_tar,tar
970,0.1358929058504736,mckittrick_tar,tar
971,0.13899604630525403,mckittrick_tar,tar
972,0.14213755912835996,mckittrick_tar,tar
973,0.14455940393089167,mckittrick_tar,tar
974,0.14620089223067972,mckittrick_tar,tar
975,0.14759903369634914,mckittrick_tar,tar
976,0.14931638878557746,mckittrick_tar,tar
977,0.15140664916353325,mckittrick_tar,tar
978,0.15352084027154983,mckittrick_tar,tar
979,0.1555415147362495,mckittrick_tar,tar
980,0.1579291051141269,mckittrick_tar,tar
981,0.16130573131588127,mckittrick_tar,tar
982,0.16576108795704775,mckittrick_tar,tar
983,0.1707248044554413,mckittrick_tar,tar
984,0.1755536539372487,mckittrick_tar,tar
985,0.18010226267207968,mckittrick_tar,tar
986,0.18464827811742796,mckittrick_tar,tar
987,0.1894411034177233,mckittrick_tar,tar
988,0.19451400756657083,mckittrick_tar,tar
989,0.199837286220997,mckittrick_tar,tar
990,0.20544282539832498,mckittrick_tar,tar
991,0.21141049407888296,mckittrick_tar,tar
992,0.21783445266876605,mckittrick_tar,tar
993,0.22470330187427384,mckittrick_tar,tar
994,0.2317002218689596,mckittrick_tar,tar
995,0.23826450740647714,mckittrick_tar,tar
996,0.24403431213715537,mckittrick_tar,tar
997,0.2492056567450291,mckittrick_tar,tar
998,0.25439367181030265,mckittrick_tar,tar
999,0.26020685840147345,mckittrick_tar,tar
1000,0.26697836232660405,mckittrick_tar,tar
1001,0.27475350093043455,mckittrick_tar,tar
1002,0.28338797462019044,mckittrick_tar,tar
