sampled,museum,catalog_number,UCIAMS_number,taxon,genus,species,locality,ucmp_locality,side,element,collagen_present,batch,publication
TRUE,UCMP,239976,,Hemiauchenia,Hemiauchenia,,McKittrick,7139,right,metatarsal,,1,
TRUE,UCMP,241191,280009,Hemiauchenia,Hemiauchenia,,McKittrick,7139,left,metatarsal,,1,
TRUE,UCMP,286436,,Lepus,Lepus,,McKittrick,7139,left,femur,,1,
TRUE,UCMP,287162,,Lepus,Lepus,,McKittrick,1370,right,femur,,1,
TRUE,UCMP,287164,,Lepus,Lepus,,McKittrick,1370,right,femur,,1,
TRUE,UCMP,287165,,Lepus,Lepus,,McKittrick,1370,right,femur,,1,
TRUE,UCMP,287166,,Lepus,Lepus,,McKittrick,1370,right,femur,,1,
TRUE,UCMP,287167,,Lepus,Lepus,,McKittrick,1370,right,femur,,1,
TRUE,UCMP,287168,,Lepus,Lepus,,McKittrick,1370,right,femur,,1,
TRUE,UCMP,287170,280002,Lepus,Lepus,,McKittrick,1370,left,femur,,1,
TRUE,UCMP,287171,280000,Lepus,Lepus,,McKittrick,1370,left,femur,,1,
TRUE,UCMP,287172,,Lepus,Lepus,,McKittrick,1370,left,femur,,1,
TRUE,UCMP,287173,,Lepus,Lepus,,McKittrick,1370,right,femur,,1,
TRUE,UCMP,287174,,Lepus,Lepus,,McKittrick,1370,left,femur,,1,
TRUE,UCMP,287174,,Lepus,Lepus,,McKittrick,1370,left,femur,,1,
TRUE,UCMP,287175,280001,Lepus,Lepus,,McKittrick,1370,left,femur,,1,
TRUE,UCMP,287189,280003,Lepus,Lepus,,McKittrick,1370,left,femur,,1,
TRUE,UCMP,287190,,Lepus,Lepus,,McKittrick,1370,left,femur,,1,
TRUE,UCMP,287191,,Lepus,Lepus,,McKittrick,1370,left,femur,,1,
TRUE,UCMP,241165,,,Mammut,,McKittrick,,,,,4,
TRUE,UCMP,31035,,Odocoileus,Odocoileus,,McKittrick,,,,,3,
TRUE,UCMP,239568,,Odocoileus,Odocoileus,hemionus,McKittrick,,,,,2,
